guten_bid,good_bid,title,author
3,9542963,John F. Kennedy: The Inaugural Address,John F. Kennedy
6,11842413,Give Me Liberty Or Give Me Death,Patrick Henry
8,18996330,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln
11,836116,Alice's Adventures in Wonderland,Lewis Carroll
12,108014,Through the Looking Glass,Lewis Carroll
13,9334678,The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll
15,18334397,Moby Dick,Herman Melville
16,1386631,Peter Pan,J.M. Barrie
19,780875,The Song of Hiawatha,Henry Wadsworth Longfellow
20,193601,Paradise Lost,John Milton
21,29007653,Aesop's Fables : Translated by George Fyler Townsend,Aesop
23,132596,Narrative Of The Life Of Frederick Douglas: An American Slave,Frederick Douglass
24,10887641,O Pioneers!,Willa Cather
27,1068963,Far from the Madding Crowd,Thomas Hardy
28,17352566,Aesops Fables,Aesop
32,752984,Herland,Charlotte Perkins Gilman
33,6474485,The Scarlet Letter,Nathaniel Hawthorne
41,24820420,The Legend of Sleepy Hollow,Washington Irving
42,288840,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson
44,23182227,The Song of the Lark,Willa Cather
45,65832,Anne of Green Gables,L.M. Montgomery
47,2968207,Anne of Avonlea,L.M. Montgomery
51,37705,Anne of the Island,L.M. Montgomery
54,1052042,The Marvelous Land Of Oz,L. Frank Baum
55,33509754,The Wonderful Wizard of Oz,L. Frank Baum
57,18945048,Aladdin and the Magic Lamp,Unknown
58,1173087,Paradise Regained,John Milton
59,22814921,Discourse on the Method of Rightly Conducting One's Reson and of Seeking Truth in the Sciences,Rene Descartes
60,502868,The Scarlet Pimpernel,Emmuska Orczy
61,32872097,The Communist Manifesto,Karl Marx
62,12694261,A Princess of Mars,Edgar Rice Burroughs
64,18819315,The Gods of Mars,Edgar Rice Burroughs
68,20122872,Warlord of Mars,Edgar Rice Burroughs
70,298648,What Is Man? and Other Essays,Mark Twain
71,2624143,On the Duty of Civil Disobediance,Henry David Thoreau
72,12446508,"Thuvia, Maid of Mars",Edgar Rice Burroughs
73,2230915,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane
74,10846264,The Adventures of Tom Sawyer,Mark Twain
76,494166,Adventures of Huckleberry Finn,Mark Twain
77,17925892,The House of the Seven Gables,Nathaniel Hawthorne
78,12389442,Tarzan Of The Apes,Edgar Rice Burroughs
81,3729484,The Return Of Tarzan,Edgar Rice Burroughs
82,3158396,Ivanhoe: A Romance,Walter Scott
83,376974,From the Earth to the Moon and 'Round the Moon,Jules Verne
84,26589016,Frankenstein: Or the Modern Prometheus,Mary Wollstonecraft Shelley
85,19945405,The Beasts of Tarzan,Edgar Rice Burroughs
86,965748,A Connecticut Yankee in King Arthurs Court,Mark Twain
90,22514770,The Son of Tarzan,Edgar Rice Burroughs
91,1146398,Tom Sawyer Abroad,Mark Twain
92,18819321,Tarzan and the Jewels of Opar,Edgar Rice Burroughs
93,494163,"Tom Sawyer, Detective",Mark Twain
94,2480335,Alexander's Bridge,Willa Cather
95,613597,The Prisoner of Zenda,Anthony Hope
96,107188,The Monster Men,Edgar Rice Burroughs
97,25844039,Flatland: A Romance of Many Dimensions,Edwin A. Abbott
98,3166402,A Tale of Two Cities,Charles Dickens
99,1719913,Collected Articles of Frederick Douglass,Frederick Douglass
100,2168651,The Complete Works of William Shakesepeare,William Shakespeare
101,61182,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling
102,2668626,The Tragedy of Pudd'nhead Wilson,Mark Twain
103,21025194,Round the World in Eighty Days,Jules Verne
105,23121728,Persuassion,Jane Austen
108,640380,Return Of Sherlock Holmes,Arthur Conan Doyle
109,537430,Renascence and Other Poems,Edna St. Vincent Millay
110,18880798,"Tess of the d'Urbervilles, a Pure Woman",Thomas Hardy
111,7445682,Freckles,Gene Stratton-Porter
113,210295,The Secret Garden,Frances Hodgson Burnett
119,954455,A Tramp Abroad,Mark Twain
120,6719180,Treasure Island,Robert Louis Stevenson
121,29578891,Northanger Abby,Jane Austen
122,509037,The Return of the Native,Thomas Hardy
123,19404958,At the Earth's Core,Edgar Rice Burroughs
125,3155831,A Girl of the Limberlost,Gene Stratton-Porter
126,2545558,The Poison Belt,Arthur Conan Doyle
128,8268107,The Arabian Nights Entertainments,Andrew Lang
132,10532,The Art of War,Sun Tzu
133,19416907,The Damnation of Theron Ware,Harold Frederic
134,1656262,"Maria: or, The Wrongs of Woman",Mary Wollstonecraft
135,22070742,Los Miserables,Victor Hugo
136,6324757,A Child's Garden of Verses,Robert Louis Stevenson
139,8660,The Lost World,Arthur Conan Doyle
140,8223454,The Jungle,Upton Sinclair
141,8067423,Mansfield Park,Jane Austen
142,924215,"The $30,000 Bequest and Other Stories",Mark Twain
143,713868,The Mayor of Casterbridge,Thomas Hardy
144,148905,The Voyage Out,Virginia Woolf
145,18746840,Middlemarch,George Eliot
146,35410870,A Little Princess: Being the Whole Story of Sara Crewe Now Told For the First Time,Frances Hodgson Burnett
147,18626880,Common Sense,Thomas Paine
149,29514,The Lost Continent,Edgar Rice Burroughs
150,9746148,The Republic,Plato
151,10460295,The Rime of the Ancient Mariner,Samuel Taylor Coleridge
153,4962141,Jude the Obscure,Thomas Hardy
154,1178023,The Rise Of Silas Lapham,William Dean Howells
155,24357337,The Moonstone,Wilkie Collins
157,12574502,Daddy Long Legs,Jean Webster
158,3209316,Emma,Jane Austen
160,4906553,The Awakening and Selected Stories,Kate Chopin
161,15828826,Sense and Sensibility,Jane Austen
162,3231779,Take Me for a Ride: Coming of Age in a Destructive Cult,Mark Laxer
163,2544136,Flower Fables,Louisa May Alcott
